Year,PeakCount,FishDays
2014,711,11091
2013,750,14886
2012,1068,18231
2011,995,17047
2010,725,14893
2009,589,12599
2008,514,6117
2007,464,8231
2006,438,7770
2005,426,7242
2004,406,7478
2003,303,5964
2002,227,4748
2001,244,3762
2000,340,7061
1999,399,8382
1998,367,6997
1997,344,5551
1996,275,6564
1995,286,6684
1994,275,7149
1993,257,5841
1992,219,5544
1991,280,7460
1990,382,9091
1989,363,7028
1988,340,6531
1987,294,5821
1986,378,8623
1985,241,5077
1984,220,4721
1983,270,4564
1982,417,8051
1981,453,8435
1980,440,8933
1979,618,10076
1978,473,8099
1977,347,5878
1976,272,6726
1975,346,6505
1974,287,6168
1973,258,4979
1972,238,3747
1971,176,3371
1970,203,3599
1969,237,6275
1968,178,4597
1967,180,3575
1966,249,7380
1965,377,8297
1964,234,3715
1963,251,6234
1962,258,5977
1961,214,3534
